Observacion,X1,X2,X3
1,3.4,89.7,30.2
2,5.1,55.7,9.9
3,4.5,52.3,11.5
4,3.5,47,11.2
5,5.9,42.7,7
6,5.1,30.6,6.9
7,4.6,64.4,11.8
8,5,51,9.6
9,3.2,54.4,14.7
10,3.4,45.7,13.2
11,6.5,39.9,5.2
12,4.4,40.3,13.7
13,5.1,52.4,11
14,5.8,43.9,8
15,4.6,52.8,14.4
16,7.2,65.8,7.8
17,7.2,58.1,7.7
18,4.4,58.5,12.1
19,7.8,84.3,11
20,16,96.5,6
21,16.7,100,6.8
22,15.2,92.3,5.2
23,17.5,99.9,6.8
24,16.2,93.3,6.1
25,14.7,100,6.6
26,15.3,99.9,5.9
27,15.8,100,6.9
28,18.3,96.3,5.7
29,15.9,100,6.1
30,16.1,92.5,6.1
31,9.7,87.6,7.7
32,6.9,53.6,6.6
33,14.4,87.8,5.2
34,14.9,34.5,4.69
